issue,draw_date,sales_amount,one,two,three
2004344,2004-12-16,0,3,6,9
2004343,2004-12-15,0,2,2,9
2004342,2004-12-14,0,7,2,2
2004341,2004-12-13,0,7,7,4
2004340,2004-12-12,0,4,0,9
2004339,2004-12-11,0,3,7,8
2004338,2004-12-10,0,0,0,8
2004337,2004-12-09,0,4,8,7
2004336,2004-12-08,0,1,6,7
2004335,2004-12-07,0,0,6,6
2004334,2004-12-06,0,9,3,3
2004333,2004-12-05,0,7,9,8
2004332,2004-12-04,0,2,8,4
2004331,2004-12-03,0,7,3,1
2004330,2004-12-02,0,8,2,1
2004329,2004-12-01,0,9,2,7
2004328,2004-11-30,0,0,9,2
2004327,2004-11-29,0,2,2,7
2004326,2004-11-28,0,3,0,3
2004325,2004-11-27,0,9,3,5
2004324,2004-11-26,0,8,3,6
2004323,2004-11-25,0,3,3,9
2004322,2004-11-24,0,6,3,1
2004321,2004-11-23,0,8,2,8
2004320,2004-11-22,0,4,2,4
2004319,2004-11-21,0,9,1,1
2004318,2004-11-20,0,2,5,3
2004317,2004-11-19,0,9,9,2
2004316,2004-11-18,0,1,5,1
2004315,2004-11-17,0,8,0,0
2004314,2004-11-16,0,2,0,5
2004313,2004-11-15,0,4,8,5
2004312,2004-11-14,0,8,0,1
2004311,2004-11-13,0,7,9,8
2004310,2004-11-12,0,2,4,7
2004309,2004-11-11,0,1,5,2
2004308,2004-11-10,0,2,8,7
2004307,2004-11-09,0,9,3,6
2004306,2004-11-08,0,0,8,6
2004305,2004-11-07,0,2,7,0
2004304,2004-11-06,0,5,9,7
2004303,2004-11-05,0,2,6,4
2004302,2004-11-04,0,1,7,7
2004301,2004-11-03,0,6,8,8
2004300,2004-11-02,0,6,7,9
2004299,2004-11-01,0,4,3,9
2004298,2004-10-31,0,4,7,6
2004297,2004-10-30,0,4,7,7
2004296,2004-10-29,0,8,7,8
2004295,2004-10-28,0,6,0,7
2004294,2004-10-27,0,8,2,8
